cosine_tfidf,jaccard_tokens,dice_tokens,overlap_unique_tokens,char_len_a,char_len_b,char_len_diff,line_count_a,line_count_b,line_count_diff,token_count_a,token_count_b,token_count_diff,is_clone
0.5985224765659759,0.39285714285714285,0.5641025641025641,0.6111111111111112,116.0,103.0,13.0,5.0,3.0,2.0,38.0,28.0,10.0,1
0.5176671495772884,0.45454545454545453,0.625,0.625,63.0,60.0,3.0,5.0,4.0,1.0,23.0,25.0,2.0,1
0.9866920502994784,0.9629629629629629,0.9811320754716981,1.0,288.0,264.0,24.0,15.0,14.0,1.0,94.0,87.0,7.0,0
0.6766010276401382,0.7666666666666667,0.8679245283018868,0.8846153846153846,227.0,246.0,19.0,11.0,10.0,1.0,86.0,84.0,2.0,0
0.8101561292945669,0.8205128205128205,0.9014084507042254,0.9142857142857143,381.0,327.0,54.0,10.0,11.0,1.0,97.0,88.0,9.0,1
0.906422687065005,0.9615384615384616,0.9803921568627451,1.0,279.0,283.0,4.0,10.0,11.0,1.0,59.0,58.0,1.0,0
0.9087903497970946,0.9629629629629629,0.9811320754716981,1.0,336.0,397.0,61.0,17.0,22.0,5.0,129.0,159.0,30.0,0
0.6462815596761362,0.6451612903225806,0.7843137254901961,0.8333333333333334,132.0,158.0,26.0,7.0,7.0,0.0,39.0,42.0,3.0,1
0.8070977567753982,0.7037037037037037,0.8260869565217391,0.8636363636363636,179.0,178.0,1.0,5.0,5.0,0.0,38.0,40.0,2.0,0
0.8905362142686125,0.9375,0.967741935483871,0.967741935483871,205.0,229.0,24.0,7.0,7.0,0.0,58.0,70.0,12.0,1
0.4592959505548498,0.5357142857142857,0.6976744186046512,0.7142857142857143,206.0,119.0,87.0,7.0,3.0,4.0,58.0,37.0,21.0,1
0.9249877728900839,0.7727272727272727,0.8717948717948718,0.8947368421052632,163.0,148.0,15.0,6.0,6.0,0.0,44.0,39.0,5.0,1
0.7804239220588598,0.7708333333333334,0.8705882352941177,0.8809523809523809,312.0,291.0,21.0,14.0,14.0,0.0,118.0,120.0,2.0,1
0.295514822672536,0.6896551724137931,0.8163265306122449,0.9090909090909091,294.0,157.0,137.0,14.0,8.0,6.0,60.0,42.0,18.0,1
0.9574188247758562,0.92,0.9583333333333334,1.0,156.0,161.0,5.0,7.0,7.0,0.0,55.0,57.0,2.0,0
0.8728503129587669,0.8076923076923077,0.8936170212765957,0.9545454545454546,117.0,123.0,6.0,7.0,7.0,0.0,38.0,41.0,3.0,0
0.8713714770657545,0.9166666666666666,0.9565217391304348,0.9565217391304348,501.0,499.0,2.0,13.0,13.0,0.0,149.0,149.0,0.0,0
0.8012165288513486,0.8518518518518519,0.92,0.9583333333333334,398.0,311.0,87.0,13.0,12.0,1.0,118.0,84.0,34.0,1
0.993587663377054,0.9444444444444444,0.9714285714285714,0.9714285714285714,346.0,346.0,0.0,8.0,8.0,0.0,103.0,103.0,0.0,0
0.8250740526953876,0.6486486486486487,0.7868852459016393,0.8,224.0,222.0,2.0,8.0,7.0,1.0,61.0,63.0,2.0,1
0.9216462080427635,0.8529411764705882,0.9206349206349206,0.9354838709677419,263.0,275.0,12.0,7.0,7.0,0.0,60.0,64.0,4.0,0
0.4206182637367272,0.6206896551724138,0.7659574468085106,0.782608695652174,168.0,149.0,19.0,7.0,5.0,2.0,44.0,41.0,3.0,1
0.6438996413463809,0.34615384615384615,0.5142857142857142,0.6923076923076923,114.0,76.0,38.0,5.0,4.0,1.0,37.0,24.0,13.0,1
0.7573186006304601,0.8076923076923077,0.8936170212765957,0.9130434782608695,197.0,220.0,23.0,8.0,9.0,1.0,46.0,51.0,5.0,0
0.968204687777098,0.8181818181818182,0.9,0.9,489.0,486.0,3.0,14.0,14.0,0.0,138.0,138.0,0.0,0
0.5126815223890544,0.7037037037037037,0.8260869565217391,0.95,258.0,106.0,152.0,10.0,3.0,7.0,54.0,32.0,22.0,1
0.9098228437699876,0.9230769230769231,0.96,0.96,269.0,244.0,25.0,12.0,11.0,1.0,72.0,68.0,4.0,0
0.8553834290156375,0.8333333333333334,0.9090909090909091,0.9259259259259259,169.0,169.0,0.0,11.0,11.0,0.0,60.0,60.0,0.0,0
0.9708108562257037,0.8857142857142857,0.9393939393939394,0.9393939393939394,249.0,249.0,0.0,9.0,9.0,0.0,81.0,81.0,0.0,0
0.6749550669853706,0.6818181818181818,0.8108108108108109,0.9375,507.0,417.0,90.0,11.0,11.0,0.0,119.0,112.0,7.0,1
0.9654811441869107,0.9166666666666666,0.9565217391304348,1.0,167.0,188.0,21.0,6.0,7.0,1.0,60.0,69.0,9.0,0
0.8818876709150472,0.7777777777777778,0.875,0.9130434782608695,795.0,814.0,19.0,18.0,22.0,4.0,152.0,177.0,25.0,1
0.2033789779748327,0.6285714285714286,0.7719298245614035,0.7857142857142857,196.0,221.0,25.0,15.0,15.0,0.0,80.0,84.0,4.0,0
0.8616840857014945,0.8260869565217391,0.9047619047619048,0.95,104.0,102.0,2.0,4.0,3.0,1.0,31.0,32.0,1.0,1
