cosine_tfidf,jaccard_tokens,dice_tokens,overlap_unique_tokens,char_len_a,char_len_b,char_len_diff,line_count_a,line_count_b,line_count_diff,token_count_a,token_count_b,token_count_diff,clone_type
0.7126738130828809,0.7941176470588235,0.8852459016393442,0.9310344827586207,362.0,518.0,156.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.7126738130828809,0.7941176470588235,0.8852459016393442,0.9310344827586207,362.0,547.0,185.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.722844948781418,0.8181818181818182,0.9,0.9310344827586207,362.0,501.0,139.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.8063260920413418,0.9032258064516129,0.9491525423728814,0.9655172413793104,362.0,444.0,82.0,12.0,12.0,0.0,103.0,126.0,23.0,type_III
0.7636709256701061,0.8484848484848485,0.9180327868852459,0.9655172413793104,362.0,509.0,147.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.7118129176195542,0.7941176470588235,0.8852459016393442,0.9310344827586207,362.0,508.0,146.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.7260722470259084,0.7714285714285715,0.8709677419354839,0.9310344827586207,362.0,533.0,171.0,12.0,12.0,0.0,103.0,128.0,25.0,type_III
0.8268146558373877,0.8484848484848485,0.9180327868852459,0.9655172413793104,362.0,451.0,89.0,12.0,12.0,0.0,103.0,122.0,19.0,type_III
0.728518653616397,0.8461538461538461,0.9166666666666666,0.9166666666666666,177.0,163.0,14.0,7.0,9.0,2.0,41.0,41.0,0.0,type_III
0.5993796393226658,0.5333333333333333,0.6956521739130435,0.7272727272727273,177.0,153.0,24.0,7.0,7.0,0.0,41.0,40.0,1.0,type_III
0.6888096636259433,0.59375,0.7450980392156863,0.7916666666666666,177.0,194.0,17.0,7.0,7.0,0.0,41.0,58.0,17.0,type_III
0.7747561793421717,0.6,0.75,0.75,177.0,165.0,12.0,7.0,7.0,0.0,41.0,43.0,2.0,type_III
0.7332578722450563,0.5714285714285714,0.7272727272727273,0.8,177.0,141.0,36.0,7.0,7.0,0.0,41.0,37.0,4.0,type_III
0.8332051901292394,0.8695652173913043,0.9302325581395349,1.0,135.0,166.0,31.0,6.0,7.0,1.0,34.0,40.0,6.0,type_III
0.8580536301754014,0.8695652173913043,0.9302325581395349,1.0,135.0,167.0,32.0,6.0,7.0,1.0,34.0,40.0,6.0,type_III
0.8212586601791907,0.7916666666666666,0.8837209302325582,0.95,135.0,161.0,26.0,6.0,7.0,1.0,34.0,40.0,6.0,type_III
0.864067083108796,0.8695652173913043,0.9302325581395349,1.0,135.0,165.0,30.0,6.0,7.0,1.0,34.0,40.0,6.0,type_III
0.8033585416854684,0.8260869565217391,0.9047619047619048,0.95,135.0,152.0,17.0,6.0,7.0,1.0,34.0,37.0,3.0,type_III
0.9104756135343469,0.8846153846153846,0.9387755102040817,0.9583333333333334,143.0,146.0,3.0,10.0,9.0,1.0,52.0,58.0,6.0,type_III
0.6688897652024012,0.8888888888888888,0.9411764705882353,0.96,183.0,193.0,10.0,11.0,13.0,2.0,66.0,69.0,3.0,type_III
0.8925170376655346,0.7941176470588235,0.8852459016393442,0.9642857142857143,242.0,384.0,142.0,9.0,14.0,5.0,65.0,102.0,37.0,type_III
0.9382666033206438,0.875,0.9333333333333333,1.0,242.0,360.0,118.0,9.0,15.0,6.0,65.0,96.0,31.0,type_III
0.9142288722913624,0.7941176470588235,0.8852459016393442,0.9642857142857143,242.0,355.0,113.0,9.0,13.0,4.0,65.0,94.0,29.0,type_III
0.9044327751520282,0.8235294117647058,0.9032258064516129,1.0,242.0,332.0,90.0,9.0,13.0,4.0,65.0,85.0,20.0,type_III
0.9230577450974309,0.8181818181818182,0.9,0.9642857142857143,242.0,352.0,110.0,9.0,13.0,4.0,65.0,92.0,27.0,type_III
0.9617889494923257,0.9032258064516129,0.9491525423728814,1.0,242.0,305.0,63.0,9.0,12.0,3.0,65.0,83.0,18.0,type_III
0.9523263505246395,0.875,0.9333333333333333,1.0,242.0,307.0,65.0,9.0,11.0,2.0,65.0,85.0,20.0,type_III
0.8800301615007442,0.9375,0.967741935483871,0.967741935483871,205.0,229.0,24.0,7.0,7.0,0.0,58.0,70.0,12.0,type_III
0.8342895262667495,0.9090909090909091,0.9523809523809523,0.967741935483871,205.0,208.0,3.0,7.0,7.0,0.0,58.0,61.0,3.0,type_III
0.6112366565933559,0.7272727272727273,0.8421052631578947,0.9230769230769231,205.0,147.0,58.0,7.0,6.0,1.0,58.0,43.0,15.0,type_III
0.48999023485012855,0.6764705882352942,0.8070175438596491,0.8846153846153846,205.0,143.0,62.0,7.0,6.0,1.0,58.0,43.0,15.0,type_III
0.8273046283079161,0.8181818181818182,0.9,1.0,123.0,146.0,23.0,6.0,8.0,2.0,34.0,40.0,6.0,type_III
0.8256646872072876,0.85,0.918918918918919,0.9444444444444444,123.0,128.0,5.0,6.0,7.0,1.0,34.0,35.0,1.0,type_III
0.8395765879381146,0.85,0.918918918918919,0.9444444444444444,123.0,128.0,5.0,6.0,7.0,1.0,34.0,35.0,1.0,type_III
0.9442039700210713,0.972972972972973,0.9863013698630136,1.0,354.0,377.0,23.0,11.0,21.0,10.0,90.0,97.0,7.0,type_III
0.9442039700210713,0.972972972972973,0.9863013698630136,1.0,354.0,375.0,21.0,11.0,18.0,7.0,90.0,97.0,7.0,type_III
0.9442039700210713,0.972972972972973,0.9863013698630136,1.0,354.0,377.0,23.0,11.0,24.0,13.0,90.0,97.0,7.0,type_III
0.9257564879074895,0.8974358974358975,0.9459459459459459,0.9722222222222222,354.0,383.0,29.0,11.0,24.0,13.0,90.0,96.0,6.0,type_III
0.8730267876682952,0.8205128205128205,0.9014084507042254,0.9142857142857143,354.0,362.0,8.0,11.0,14.0,3.0,90.0,94.0,4.0,type_III
0.9479872390012123,1.0,1.0,1.0,354.0,371.0,17.0,11.0,19.0,8.0,90.0,94.0,4.0,type_III
0.9479872390012123,1.0,1.0,1.0,354.0,376.0,22.0,11.0,22.0,11.0,90.0,94.0,4.0,type_III
0.9442039700210713,0.972972972972973,0.9863013698630136,1.0,354.0,381.0,27.0,11.0,24.0,13.0,90.0,97.0,7.0,type_III
0.9178124120999962,0.9032258064516129,0.9491525423728814,1.0,365.0,396.0,31.0,13.0,15.0,2.0,91.0,103.0,12.0,type_III
0.8308754671236689,0.7586206896551724,0.8627450980392157,0.88,243.0,217.0,26.0,12.0,12.0,0.0,65.0,59.0,6.0,type_III
0.8110603356508603,0.7586206896551724,0.8627450980392157,0.88,243.0,217.0,26.0,12.0,12.0,0.0,65.0,59.0,6.0,type_III
0.8836483080268458,0.8214285714285714,0.9019607843137255,0.92,243.0,211.0,32.0,12.0,11.0,1.0,65.0,58.0,7.0,type_III
0.9021925052098612,0.8214285714285714,0.9019607843137255,0.92,243.0,210.0,33.0,12.0,11.0,1.0,65.0,58.0,7.0,type_III
0.7493120660586686,0.7391304347826086,0.85,0.8717948717948718,499.0,512.0,13.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.7291370396704789,0.7333333333333333,0.8461538461538461,0.8461538461538461,499.0,512.0,13.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.7320450688255641,0.7954545454545454,0.8860759493670886,0.8974358974358975,499.0,512.0,13.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.7201448210233395,0.7021276595744681,0.825,0.8461538461538461,499.0,513.0,14.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.8265216468304064,0.7954545454545454,0.8860759493670886,0.8974358974358975,499.0,514.0,15.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.7338186478131619,0.7391304347826086,0.85,0.8717948717948718,499.0,513.0,14.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.779414121317424,0.7391304347826086,0.85,0.8717948717948718,499.0,512.0,13.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.7393424796952177,0.7391304347826086,0.85,0.8717948717948718,499.0,512.0,13.0,11.0,11.0,0.0,145.0,154.0,9.0,type_III
0.9414835010448234,0.8928571428571429,0.9433962264150944,0.9615384615384616,314.0,312.0,2.0,7.0,7.0,0.0,82.0,84.0,2.0,type_III
0.9426225094237494,0.8928571428571429,0.9433962264150944,0.9615384615384616,314.0,316.0,2.0,7.0,7.0,0.0,82.0,84.0,2.0,type_III
0.8837590960543992,0.8571428571428571,0.9230769230769231,0.9230769230769231,314.0,316.0,2.0,7.0,7.0,0.0,82.0,86.0,4.0,type_III
0.8673787691486959,0.9259259259259259,0.9615384615384616,0.9615384615384616,314.0,323.0,9.0,7.0,7.0,0.0,82.0,90.0,8.0,type_III
0.8827491347810075,0.8571428571428571,0.9230769230769231,0.9230769230769231,314.0,313.0,1.0,7.0,7.0,0.0,82.0,86.0,4.0,type_III
0.7985423720017172,0.7105263157894737,0.8307692307692308,0.8709677419354839,416.0,465.0,49.0,10.0,11.0,1.0,85.0,102.0,17.0,type_III
0.8222465299170678,0.7567567567567568,0.8615384615384616,0.9032258064516129,416.0,429.0,13.0,10.0,11.0,1.0,85.0,90.0,5.0,type_III
0.8258766203966551,0.7567567567567568,0.8615384615384616,0.9032258064516129,416.0,445.0,29.0,10.0,11.0,1.0,85.0,91.0,6.0,type_III
0.9091853867149068,0.7297297297297297,0.84375,0.8709677419354839,416.0,426.0,10.0,10.0,10.0,0.0,85.0,88.0,3.0,type_III
0.8620407589732915,0.7714285714285715,0.8709677419354839,0.8709677419354839,416.0,464.0,48.0,10.0,9.0,1.0,85.0,99.0,14.0,type_III
